,jobs
79,"As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally. We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

About you.
Requirements

Ph.D. or M.S. in a quantitative field such as Computer Science, Operations Research, Statistics, Econometrics or Mathematics

Expertise in machine learning and statistical modeling

5+ years professional or research experience in data science

Passion to answer Product/Engineering questions with data

Demonstrated mentorship experience

We get excited about candidates who

Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products

Can do small data modeling work: R, Python, Julia, Octave

Can do big data modeling work: Hadoop, Pig, Scala, Spark

Can fish for data: SQL, Pandas, MongoDB

Can deploy data science solutions: Java, Python, C++"
80,"Innovate. Collaborate. Shine. Lighthouse KPMG's Center of Excellence for Advanced Analytics has both applied data science, AI, and big data architecture capabilities. Here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects covering technologies and solutions from AI to optimization and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.

KPMG is currently seeking a Director to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.

Responsibilities:
Lead workshops, innovation sessions with clients, multi-disciplinary, and cross-functional teams to identify business opportunities and artificial intelligence solutions utilizing processes and best practices to plan, lead, and execute delivery of artificial intelligence engagements across different areas (risk management, financial services, mergers and acquisitions, and public policy)
Lead in a fast-paced and dynamic environment utilizing virtual and face-to-face interactions; Manage complex workstreams, expectations, budgets, deliverables, and multiple responsibilities using structured approaches for operational excellence and communicating results to executive level audiences
Work with clients to discover data sources, and create data requests; Lead the ETL process to ingest structured data and annotation processes to enrich unstructured data; Leverage a variety of data sources (social media, news, internal/external documents, images, video, voice, emails, financial data and operational data)
Leverage a variety of tools and approaches to solve complex business objectives, from Statistical Natural Language Processing, Information Retrieval/Extraction, Machine Learning/ Deep Learning, Image Processing, Rules Engines, Knowledge Graphs and Semantic Search
Plan and manage engagement objectives and key deliverables using analytics processes to mitigate risks in data, modeling, validation and delivery while working with team members to capture assumptions, risks, and develop approaches to mitigate issues
Refactor, deploy, and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution utilizing APIs, platforms, containers, multi-threading and distributed processing to achieve throughput goals
Qualifications:
Minimum of ten years of experience leading teams of at least ten data scientists, engineers, and other data & analytics professionals, including business development, requirements gathering, people development, and quality management using analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; Multidisciplinary backgrounds
Master's degree from an accredited college/university in Computer Science, Engineering, or related fields; PhD from an accredited college/university is preferred
Ability to work with the business to understand business goals to create an artificial intelligence solution and an accompanying business case that meets the business objectives and business constraints; With expertise in delivering projects using leading processes including strong knowledge of data discovery, cleaning, model selection, validation and deployment
Understanding of data preparation, machine learning, deep learning, natural language processing, and development practices (testing, code design, complexity, and code optimization); Ability to discuss mathematical formulations, alternatives, and impact on modeling approach
Fluency in Python; Proficiency in AI related frameworks (NLTK, Spacy, Scikit-Learn, Tensorflow); and experience with platforms (Google Cloud, Azure, and AWS); Ability to pick up new languages and technologies quickly; Work efficiently under Unix/Linux environment with experience with source code management systems like GIT; Work with a variety of databases (SQL, ElasticSearch, Solr, Neo4j)
Ability to travel up to eighty percent of the time; Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.

SDL2017"
81,"The Basics:

You'll be working with other data science and data engineers to build and deliver intuitive data products by making sense of and understanding the large volumes of data we see on a daily basis. You'll be developing the algorithms, data pipelines, and metrics to make our data actionable. Wearing multiple hats along the way you will be a strong collaborator for your peer data engineers, dabble with different models for predictive systems and at times put on a BI hat to help enable business decisions. With a keen eye of data intelligence you will work alongside Product Managers, Sales, Marketing to enable data driven decisions and products across the entire organization. You will be working in python for the most part, dabbling from time to time with Spark and working in an AWS cloud environment.

If you're interested in building systems that can consume and explore Billions of data points a day, we need your help!
What You'll Do:

Design, build and own predictive models from being able to predict customer churn to identifying fraudulent patterns in a large scale event stream
Design and build scalable data pipelines for managing and analyzing billions of transactions a day
Design experiments and evaluation to validate models in production
Work closely with data engineers and data scientists to build scalable and performant data models
Work closely with product teams to ensure data is actionable and aligned with our products
We're Looking for Someone With:

3+ years industry experience in data science, with designing, building and evaluating predictive models
Proficiency with statistics, predictive modeling and experimentation
Familiarity with applied machine learning and data modeling
Proficient in Python
Proven record of using predictive models to drive key metrics in production
Collaborate with product management and engineering departments to understand the company needs and devise possible solutions
Strong communicator able to summarize and communicate results and ideas to key decision makers
A leader, able to drive data drive decisions and products across the organization
Nice to have: Familiarity with Tableau or other data visualization tools and able to produce reports that clearly summarize findings
Nice to have: Familiar with Spark, SQL and data pipelines
Nice to have: Experience working with Database/storage systems like: Postgres, Druid, Aerospike, Elasticsearch
About Us:

Branch provides solutions that unify user measurement across different devices, platforms, and channels, and deliver a seamless customer experience no matter where the user comes from. The introduction of mobile has divided today's businesses, causing inaccurate attribution and links that don't work, leading to wasted marketing spend and broken customer journeys. Branch fixes that by providing a holistic view of various user touch points and ensuring that links take the user to the right place on the website or native app. Branch is a trusted solution for over 30,000 brands including Airbnb, Instacart, Pinterest, Slack and many more.

Branch has raised over $110 million in funding from amazing investors. We're based in Redwood City, however, Branchsters can be found all around the world! The team is made up of people from different backgrounds, experiences, and educations, all passionate about the work we do, the team we do it with, and the partners we do it for. Join us in our journey to solving fascinating problems in the mobile industry!"
82,"Convoy, one of the fastest growing startups in the U.S., is transforming the $800 billion trucking industry. We offers the world's largest companies the best option for moving their freight through our network of thousands of technology-connected trucking companies.

Data Science is at the core of Convoys platform. We build the models that power freight pricing, shipment offer relevance, auction bidding strategy, and other core services. The breadth of the problems space is huge, spanning machine learning, optimization, causal inference, econometrics, and prediction domains. And we have only begun to dig into the difficult and diverse problems in our two-sided marketplace.

At Convoy you will be expected to work autonomously and own your domain end-to-end. We are a highly aligned team that operates in a fast-paced environment and pivots where needed to focus on what matters most. You will work with high signal-to-noise data to power your deep dive research, modeling, and experimentation projects. If youre curious minded and are interested in joining a company that is pushing the envelope of data science, join us
You will work on:
Recommendation Systems
Forecasting/Time Series
Marketplace Dynamics
Prediction/Classification
Experimentation
Causal Inference/Observational
Data Analysis
Auction Optimization
Operations Research
You have the following skills and experience:
MS or PhD in economics/econometrics, statistics, computer science, operations research, a natural science or equivalent quantitative subject
Experience with scientific/statistical languages such as R, Python, or Julia
5+ years of experience doing statistical modeling for analysis and/or prediction
Intelligent but practical; you want to get things done and love simplicity
Excellent presenter and writer
Youre a leader and will speak up where needed
You have a habit of bias-to-action
Nice to have:
Experience with two-sided markets (platforms) and other economic theory
Experience with human computation and human-in-the-loop ML frameworks
Experience in bidding and pricing (e.g., quant experience)
Experience designing machine learning solutions for a production environment
Big data tools such as Spark, and/or Hadoop
SQL fluency
Convoy is an equal-opportunity employer and we are actively seeking a diverse team. If you're a collaborative team player who wants to have an outsized impact with a small, tight-knit team, we'd love to hear from you!"
83,"Principal Data Scientist

Customer Success and Support | Seattle, Washington

Position Summary

The Principal Data Scientist - Customer Success Analytics is responsible designing and building models & algorithms that power the next generation of actionable insights for the Customer Success organization at DocuSign.

The ideal candidate has a rich experience across the domains of Customer Success, Professional Services, Customer Support and Sales Lifecycle as a data scientist / decision scientist. You will leverage big data, statistical analysis, machine learning, AI and other advanced techniques to help DocuSign drive customer success, retention, upsell and cross-sell. You will partner closely with other data scientists and analysts in product engineering, marketing, sales and finance. This role will influence and shape the design, architecture and roadmap for advanced predictive and prescriptive analytics while collaborating & partnering with customer success teams on business & customer requirements to improve customer journeys and drive targeted customer outcomes with tangible ROI. You have a track record of driving successful data science initiatives while balancing the diagnosis and fixing of urgent problems with a calm assertive approach

This role requires the ability to deliver in matrixed organization at global scale. The candidate is deeply analytical with keen understanding of business process and programs and the ability to translate data and insights into operational readouts.

This position is an individual contributor position and reports to the Senior Manager, Customer Success Analytics, Services Management

Responsibilities
Design and build models / algorithms to drive predictive & prescriptive analytics across the customer journey understand, track and predict sequences of events and interactions - evolve Customer Adoption Index to a holistic Customer Health Index
Drive prediction model and account targeting for Customer Success Managers and Account Managers across North America, EMEA and APAC, to improve the customer journey and positively impact MRR/ARR while improving the customer experience along the journey
Deliver on insights and analytics to help business leaders answer critical questions related to customer journey mapping, customer experience, adoption and health
Combine analytics, exploratory skills and data intuition to deliver customer insights on Customer Adoption Index, Customer Health Index, churn causalities and upsell opportunities
Report on key metrics and KPIs to all key business partners, including Sr. Leadership, across Customer Success Enablement, Professional Services, field CSM roles, and regional CSM organizations in EMEA and APAC
Determine opportunities for improvement across process, tooling and data automation to optimize costs and decrease turnaround time for analytics consumers
Travel: Ability to travel periodically within US

Basic Qualifications
10-12 Years of experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive solutions across the customer journey
Demonstrated experience in executing on complex projects, extracting, cleansing, and manipulating large, diverse structured and unstructured data sets on relational SQL, NOSQL databases
Experience working in an agile environment with iterative development & business feedback
Experience providing insights to support strategic decisions, including preparing and delivering insights and recommendations
3-4 years of experience with Python/R/SCALA, extensive knowledge and hand-on experience in statistical programming SAS/SPSS/MATLAB and data science toolkits Pandas/Jupyter/SCIKIT/Tensorflow
3-4 years of experience applying machine learning solving real business and customer problems
4-6 years of experience across Customer Success, Professional Services, Customer Support in account targeting, propensity analysis, customer health index, adoption, churn, customer journeys, lifetime value, upsell, cross-sell
3-4 years of experience in Enterprise Visualization Tools: Tableau, QlikView, PowerBI, MS Office Suite, Excel skills - pivot tables, macros, PowerPivots, statistical functions
A Bachelor's or Master's degree in Computer Science, Analytics, Applied Mathematics or Statistics, Econometrics, or closely related field
Preferred Qualifications
Comfortable with loosely defined requirements where you exercise your analytical skills to collaborate with the rest of the team to build solutions
Excellent problem-solving skills with ability to synthesize & communicate complex results to senior leaders
Attention to detail with focus on data quality, data consistency and criticality
Ability to shape ambiguity, govern & prioritize in a matrixed environment across organizational boundaries
Strong desire to stay ahead of industry trends & technologies with a commitment to continuous learning
Preferred experience using machine learning to build recommender systems
Exposure to AI, Deep Learning, Neural Networks, NLP
Exposure to big data platforms Snowflake, Redshift, Azure, Matillion, Hadoop
Masters or PhD in statistics, econometrics, operations research, computer science, applied mathematics
Customer Success & Support @ DocuSign
At DocuSign, we measure our success by our customers' success. We collaborate with our customers to help them leverage their use of our products for maximum impact. Our global Customer Success and Support team provides consulting services and technical support on-site and over the phone support. We ensure that all our customers are satisfied and are DocuAdvocates. You are the eyes and ears of our company and provide insightful customer feedback to the rest of the organization, so we can improve the user experience and make it one that consistently exceeds expectations.

About DocuSign
DocuSign® is changing how business gets done by empowering hundreds of thousands of customers and tens of millions of users in most countries around the world to sign, send and manage documents anytime, anywhere, on any device with confidence. DocuSign replaces printing, faxing, scanning and overnighting documents with the easiest, fastest, most trusted way to make every approval and decision digital. Organizations of all sizes and industries are accelerating contracts, approvals and workflows with DocuSign's Digital Transaction Management (DTM) platform and eSignature solution. DocuSign keeps life and business moving forward.

DocuSign is an Equal Opportunity Employer. Individuals seeking employment at DocuSign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.

#LI-DS1"
84,"Job Description
Amazon DynamoDB is a non-relational database that delivers reliable performance at any scale. It is a fully managed, multi-region, multi-master database that provides consistent single-digit millisecond latency, and offers built-in security, backup and restore, and in-memory caching. DynamoDB receives tens of millions of requests per second to databases that are hundreds of terabytes in size. However, we believe it is still Day 1 for the DynamoDB business. This position within the DynamoDB team represents a unique opportunity to contribute to a fast growing business and help shape the technology, product, and the business.
As a Senior Research Scientist, you will help the team apply leading-edge technologies to analyzing data and solving real business problems. Collaborating with other data scientists, software engineers, and product managers you will create novel, data-driven, approaches to improve our existing cloud offerings and define new offerings. You will implement creative approaches to understand the intricate complexity of cloud computing at scale. This will require design of multivariate experiments, analyzing large quantities of data using the AWS Cloud infrastructure, communicating your results to guide the direction of the business, and working with software development teams to implement your ideas. You will challenge yourself and others to come up with better solutions that impact the direction of the entire industry. It is fast paced, data driven, and impactful.
The position requires deep expertise in Statistical and Machine Learning models, and the ability to write queries data extraction and analysis. You should have excellent communication skills and be able to work with stakeholders at all levels. Above all you should be a passionate, hard-working, and creative person who loves business, loves solving difficult problems, and does not mind getting involved in the details.
Basic Qualifications
· MS in Mathematics, Statistics, Operations Research, Machine Learning or in another highly quantitative field
· A good understanding of Computer Science fundamentals
· 5+ years of hands-on industry experience in predictive modeling and large data analysis
· Track record of delivering large analytical solutions with big business impact
· 5+ years with Statistical Analysis and Modeling tools like R, Python, SAS or similar
· Able to write SQL scripts for analysis and reporting
· Solid communication skills
· Enjoys working in a team environment
Preferred Qualifications
· PhD in Mathematics, Statistics, Operations Research, Machine Learning or in another highly quantitative field
· A deep understanding of Computer Science fundamentals
· Thinks strategically, but is comfortable diving deep to address tactical challenges.
· Experience with MPP databases such as Redshift.
· Previous work with cloud computing
· A passion for technology
· Someone who is keen to leverage their existing skills while trying new approaches


Apply Now at Amazon"
85,"Data Scientist

Seattle, WA

About the Role. . .

This role requires an in-depth understanding of statistics, as well as basic programming and data management skills. Success will require strong statistical problem-solving skills and the ability to leverage cutting-edge big data technologies.

You like to . . .
Create frameworks to predict a variety of outcomes in different scenarios
Create models of customer satisfaction that provide detailed insight into what causes a customer to take different actions
Collaborate with other data scientists and stakeholders on projects
You’re Good At
Researching and designing statistical models to answer target questions, optimizing processes and outcomes, and informed decision-making
Developing solutions in R orPython
Developing production grade solution is a huge plus
Working in Hadoop, Redshift, or Spark
Translating business and product questions into analytics projects
Communicating clearly over written and oral channels while translating complex methodologies and analytical results into high-level insights
Qualifications. . .
Good Knowledge of SQL (3+ years) creating advanced queries in a high impact role.
Must have experience with Web Analytics.
Knowledge of Statistics and Machine Learning techniques.
3+ years building statistical models/evaluating/Feature selection in a high impact role.
Knowledge of the latest NLP techniques
Masters in Stats, computer science or related field
Knowledge of R or Python (3+ years)
Knowledge of C# (at least 1 year)
Experience building data pipelines
A portfolio of NLP projects to showcase and discuss
Experience in marketing analytics, attribution modeling, or click-stream data analysis
MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any quantitative discipline

About Logic20/20. . .

Logic20/20 is one of Seattle’s fastest growing full-service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

The past three years, we’ve been in the top 10 “Best Companies to Work For” ….. why? Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity."
86,"Job Description
At Alexa Shopping, we strive to enable shopping in everyday life. Our services allow you to shop, anywhere, easily without interrupting what you’re doing – to go from “I want it” to “It’s on the way” in a matter of seconds.

As a Senior Scientist in the Voice Shopping org, you will be working with marketers, business stakeholders, product/program managers, developers and executives to deeply understand customer problems and priorities. You will form hypotheses, analyze the corpus of customer data using statistical methods, build predictive models, generate recommendations to address a range of problems across the marketing program. These span developing insights on customer engagement trends, building models to inform rates and bounties, defining segmentation for marketing, building customized guidance to optimize marketing's engagement with customers.


Your expertise will enable us to accelerate the grow of voice shopping awareness and engagement. You will be comfortable with big data systems, intimately familiar with advanced machine learning and statistical methods, and experienced in applying these to solve business problems. You will have a strong bias towards customer obsession and delivering results while dealing with ambiguity in fast-paced dynamic environments.


Further, the ideal candidate will be able to solve complex problems using data science principles across marketing that are highly accurate, scalable and cost-effective. You will have hands-on experience leading and/or working on multiple simultaneous data science initiatives as well as be able to balance technical with business judgment to make the right decisions about technology, models and methodology choices.


Roles and Responsibilities
Work with business teams, product/program managers, engineers and leadership to identify and prioritize customer and business opportunities across behavioral analytics, including segmentation and multi-touch attribution.
Translate these problems into specific analytical questions and form hypotheses that can be answered with available data using statistical methods or identify additional data needed in the master datasets to fill any gaps
Perform hand-on data analyses and modeling with huge datasets to develop insights and recommendations to inform decisions across the program
Design and run A/B experiments to validate the hypotheses and evaluate the impact of your optimizations and communicate your results to various stakeholders
Collaborate with marketers, engineers and product managers to build scalable solutions and new capabilities
Drive projects of high visibility across the organization and deliver business impact
Basic Qualifications
Basic Qualifications
Masters in Computer Science, Engineering, Statistics or related field
Experience working with business stakeholders, identifying and prioritizing requirements, building models, conducting analyses and developing insights to enable decisions
Excellent analytical and problem solving skills
7+ years of experience in statistical modeling tools (e.g., R), scripting languages (e.g., Python, Scala), relational data systems and data warehouses
5+ years of experience in big data systems and machine learning techniques
Strong verbal and written communication and data presentation skills
Familiarity with using data visualization tools
Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format
Experience giving data presentations
Preferred Qualifications
Preferred Qualifications
PhD in Computer Science, Engineering, Statistics or equivalent experience
Ability to think innovatively and creatively about complex technical and business problems
Demonstrated track record of cultivating strong working relationships and driving collaboration across multiple technical and business teams
Experience working with web-scale data sets and distributed computing tools (e.g., Map Reduce, Hive, Spark)
Experience with Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK and Keras, as well as working with GPUs to develop models
Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, EMR, AML, etc.
Knowledge of professional software engineering practices & best practices across the full software development life cycle
Publications or presentations in recognized Machine Learning, Deep Learning or Data Mining journals/conferences

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.


Apply Now at Amazon"
87,"As Conversica’s Senior Data Scientist, you will work with data scientists and engineers to solve and contribute to the innovative products we are building. You will be responsible for developing, improving and experimenting with methodologies and algorithms to support these efforts using machine learning, deep learning, reinforcement learning, and natural language processing techniques. Your scope will reach from text classification problems over big data analytics to A/B testing and experiment design.

Requirements:

5+ years of experience and training in cutting-edge research in machine learning, natural language processing (NLP), text mining and computational linguistics.
5+ years of experience with deep learning approaches and natural language processing
Advanced proficiency in Python for data analysis.
5+ years of experience with large data sets (10 million+ rows)
Ability to convey rigorous mathematical concepts and considerations to non-experts
5+ years of experience working in an agile methodology and deploying natural language and machine learning models in a production environment.

JOB REQUIREMENTS

5+ years of experience and training in cutting-edge research in machine learning, natural language processing (NLP), text mining and computational linguistics.
5+ years of experience with deep learning approaches and natural language processing
Advanced proficiency in Python for data analysis.
5+ years of experience with large data sets (10 million+ rows)
Ability to convey rigorous mathematical concepts and considerations to non-experts
5+ years of experience working in an agile methodology and deploying natural language and machine learning models in a production environment.
Must be fluent in either keras or tensorflow
Experience with large data sets (10 million+ rows)
Ability to convey rigorous mathematical concepts and considerations to non-experts
Experience working in an agile methodology

EDUCATION

Masters (Ph.D. preferred) in a quantitative discipline such as Predictive Analytics, Statistics, Mathematics, or Computer Science with coursework in Machine Learning, Deep Learning, and Natural Language Processing. Ideally we would like to see someone that has been published in Natural Language Processing and Deep Neural Networks."
88,"Job Description
Career opportunity in Seattle, WA for a Senior Data Scientist within the advanced financial analytic market. This position will fill a prestigious role on a a small start-up team inside a US based division of a global company with over 22,000 employees.

Must have 4+ years data science experience after University.

The Sr. Data Scientist will develop and run analytical models deploying various machine learning algorithms and advanced analytics tools in a data-driven culture. Must be highly proficient in SQL and R.

What you’ll do:
Using Data Science, Machine Learning, and Data Analytics, you will be part of an innovative start-up team, working to change the credit and collections process for banks, credit unions, and credit lenders across the US.
Develop innovative and effective approaches to solve client's analytics problems and communicate results and methodologies
Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems
Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as smart meters and geo-location information or social media
Perform extensive data pulls and create datasets for business users to enable clients to build self-serving reports and dashboards
Develop and maintain reports and dashboards as per client requests and meet client expectations
Proactively mine and analyze data to find meaningful patterns and derive process improvements to discuss results with the Business Consultant and/or client
Develop and maintain structured process documents, methodology documents and data dictionaries
Provide necessary documentation to enable business users to build self-serving reports and dashboards wherever necessary
Acclimatize to new technologies and situations with ease, completing multiple assignments simultaneously while maintaining high standards
Lead data discovery processes with client stakeholders to identify the business requirements and the expected outcome to be able to build impactful analytical models
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Create dashboards for visualizing the data
Provide and support with meaningful presentations about data insights and related business impact
Transfer data insights into business related statements and respective impact
Formulate and document based on use case specifications, business rules and requirements
Effective planning skills to successfully manage multiple priorities and assignments
JOB REQUIREMENTS:

BACHELOR’S OR ADVANCED DEGREE (MS, PhD preferred) in Mathematics, Computer Science, Information Systems, Machine Learning, Statistics, Econometrics, Applied Mathematics, Ops Research or related technical degrees.

4+ years of experience in financial analytics modeling and developing statistical models as well as applying machine learning algorithms.

Highly proficient and experienced in working on data modeling projects using R, SAS, Python, Azure ML, KNIME, SQL etc.

Experience working following Agile software development methodologies.

Experience and/or exposure to Tableau, PowerBI or equivalent tools. Customer focused with excellent analytical and problem-solving skills.

Self-starter, innovative thinker, motivated to continue learning.

Salary commensurate with experience. Equal opportunity employer."
89,"About the team:

Every day, thousands of websites and apps rely on Sift Science's cloud-based machine learning to understand which users and actions they can trust. With this knowledge companies can prevent fraud, grow revenue, and build better user experiences based on trust.

The Data Science Infrastructure team owns the tools that empower the development of new machine learning models and data intelligence at Sift Science. Experimentation is the lifeblood of machine learning. Our tools simplify the processes for experimentation in the face of greater complexity and scale. They also make it easier to find and analyze the data needed to make decisions.

What we're looking for:

As an engineer on the Data Science Infrastructure team, you will design and build infrastructure and tooling to make it fast, easy, and cost effective to perform machine learning experimentation and data analysis. Ensuring data and batch processing pipeline availability, stability, and access at production scale is critical to our mission.

What you'll do:
Design and build tooling to enable data scientists and ML engineers to quickly iterate on experiments
Motivate, teach, listen and empathize with a variety of engineering and analytical roles
Lead architecture discussions to meet the requirements of machine learning teams at the scale of thousands of models and hundreds of terabytes of data
Implement scalable, high-throughput, fault-tolerant, extensible, and easily maintainable batch processing workflows
Champion and deliver cross-company data engineering initiatives
What would make you a strong fit:
Designed and built scalable, fault-tolerant batch services for production data
Experience iterating on large, complex ETL data pipelines that stretch the limits of available tools and services
Strong software engineering fundamentals
Strong communication & collaboration skills, and a belief that team output is more important than individual output
Experience with big data and related systems
Bonus points:
Experience building backend systems using Java / Python
Familiar with distributed backend data stores (HBase, Cassandra, etc.) and CAP theorem
Knowledge of container technologies / AWS
Experience working with large datasets using Spark / MapReduce
A little about us:

Sift Science is a hyper-growth Series D company that facilitates the largest trust network of online businesses and consumers on the internet.

The Sift Science Trust PlatformTM uses real-time machine learning to accurately predict which users businesses can trust, and which ones they can't. The upshot? Consumers know which companies they can entrust with their personal and financial information. And businesses can customize each user's experience based on their trust score which leads to more revenue, higher conversion rates, and less fraud and abuse."
90,"Avvo is looking to hire a Senior Big Data Engineer full time in the Seattle area. Working in an established data warehouse team, this position will partner with other internal teams such as finance, marketing, sales and operations to build and maintain next generation Business Intelligence solutions using Big Data technologies such as Hadoop, Scala, and Spark.

Avvo is a highly collaborative, agile work environment, so the ideal candidate would demonstrate excellent interpersonal skills and good business knowledge in addition to excellent technical depth.

Responsibilities
Analyze existing and upcoming requirements for data platform; design and lead implementation of new features and platform modifications
Supporting Data Engineering team with daily maintenance/improvements of the existing Data Warehouse platform
Develop new Hadoop workflows and enhance existing ones
Mentor and develop the technical skill of more junior members of the Data Engineering team
Requirements
Proven experience building, debugging and optimizing complex distributed systems or backend services
Established history with Big Data technologies. Production engineering with Hadoop ecosystem strongly preferred. Including HBase, Spark, Kafka.
Demonstrated development experience with Python or Scala.
Very strong SQL skills
Ability to communicate complex technical concepts to non-technical stakeholders
Must be collaborative, quick to learn and drive for results with a balance between quality and quantity.
Benefits to help you balance your life

Avvo is growing fast and we make sure our benefits keep up. Free snacks and drinks are great (we have that), but we want our employees to be healthy, have time to unwind, and pursue their passions. We value your personal time as much as you do.
3 weeks paid vacation and paid holidays
Medical, dental, and vision for employees
401(k) plan with a company match
Company-paid ORCA card
Accessible and transparent leadership team
Dog-friendly office
Casual dress code
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by federal, state, or local law."
